id,project_id,type_y,point_id,services,DIST_CODES
0,2711,Substation,99999999901,"NYCT-E,NYCT-M",CO-081
1,8356,Depot,10080,NYCT-QN,CO-081
2,8356,Station,603,"NYCT-4,NYCT-2,NYCT-5",CO-005
3,8356,Station,93776,"NYCT-B,NYCT-D",CO-005
4,8616,Station,602,"NYCT-N,NYCT-Q,NYCT-R,NYCT-W",CO-061
5,9715,Station,901,"MNR-1,MNR-2,MNR-3",CO-061
6,11097,Station,620,"NYCT-4,NYCT-5",CO-047
7,11109,Station,92214,NYCT-D,CO-047
8,11109,Yard,168632,,
9,11134,Station,621,"NYCT-A,NYCT-C,NYCT-J,NYCT-Z,NYCT-L",CO-047
10,11312,Substation,138201,"NYCT-2,NYCT-3",CO-061
11,11353,Station,93856,"NYCT-F,NYCT-Q",CO-061
12,11353,Station,993054,NYCT-Q,CO-061
13,11353,Station,993063,NYCT-Q,CO-061
14,11353,Station,993072,NYCT-Q,CO-061
15,11405,Station,636,"NYCT-A,NYCT-C,NYCT-F",CO-047
16,11619,Yard,168767,,CO-047
17,12040,Station,1157535,"MNR-1,MNR-2",CO-005
18,12040,Station,1157553,MNR-2,CO-005
19,12040,Station,1157562,MNR-2,CO-005
20,12197,Station,92839,NYCT-L,CO-047
21,12197,Station,92857,NYCT-L,CO-047
22,12197,Station,93669,NYCT-A,CO-081
23,12197,Station,94025,"NYCT-F,NYCT-G",CO-047
24,12197,Station,94472,NYCT-G,CO-047
25,12197,Station,94613,NYCT-1,CO-061
26,12197,Station,95355,NYCT-6,CO-005
27,12197,Station,96416,NYCT-SIR,CO-085
28,12338,Station,606,NYCT-G,CO-081
29,12338,Station,92330,NYCT-N,CO-047
30,12338,Station,92456,"NYCT-J,NYCT-Z",CO-081
31,12338,Station,92606,"NYCT-J,NYCT-M",CO-047
32,12338,Station,92633,"NYCT-J,NYCT-M,NYCT-Z",CO-047
33,12338,Station,93080,NYCT-A,CO-061
34,12338,Station,95257,NYCT-6,CO-005
35,12338,Station,96238,"NYCT-N,NYCT-W,NYCT-7",CO-081
36,12411,Station,92018,NYCT-R,CO-047
37,12411,Station,94310,"NYCT-M,NYCT-R",CO-081
38,12411,Station,94677,NYCT-1,CO-061
39,12411,Station,95284,NYCT-6,CO-005
40,12420,Station,604,"NYCT-B,NYCT-D,NYCT-4",CO-005
41,12420,Station,902,"NYCT-A,NYCT-C,NYCT-E",CO-061
42,12420,Station,92063,"NYCT-B,NYCT-Q",CO-047
43,12420,Station,92161,"NYCT-B,NYCT-Q",CO-047
44,12420,Station,92973,NYCT-L,CO-047
45,12420,Station,93507,"NYCT-A,NYCT-C",CO-047
46,12420,Station,93543,NYCT-A,CO-081
47,12420,Station,94123,NYCT-F,CO-047
48,12420,Station,94267,"NYCT-M,NYCT-R",CO-081
49,12420,Station,94338,"NYCT-M,NYCT-R",CO-081
50,12420,Station,95113,NYCT-3,CO-047
51,12420,Station,95417,NYCT-4,CO-005
52,12420,Station,95961,"NYCT-2,NYCT-5",CO-005
53,12505,Station,96327,NYCT-SIR,CO-085
54,12505,Station,96345,NYCT-SIR,CO-085
55,12505,Station,96363,NYCT-SIR,CO-085
56,12505,Station,96372,NYCT-SIR,CO-085
57,12505,Station,96381,NYCT-SIR,CO-085
58,12505,Station,96407,NYCT-SIR,CO-085
59,12505,Station,96425,NYCT-SIR,CO-085
60,12630,Station,606,"NYCT-E,NYCT-M",CO-081
61,12630,Station,91661,"NYCT-N,NYCT-W",CO-081
62,12630,Station,91947,"NYCT-D,NYCT-N,NYCT-R",CO-047
63,12630,Station,93197,"NYCT-B,NYCT-C",CO-061
64,12630,Station,93213,"NYCT-B,NYCT-C",CO-061
65,12630,Station,94524,NYCT-G,CO-047
66,12630,Station,94551,NYCT-1,CO-005
67,12630,Station,95140,NYCT-3,CO-047
68,12630,Station,95596,"NYCT-4,NYCT-5,NYCT-6",CO-061
69,12630,Station,95989,NYCT-3,CO-061
70,12630,Station,96201,NYCT-7,CO-081
71,12630,Station,96229,NYCT-7,CO-081
72,12630,Station,96470,NYCT-SIR,CO-085
73,12632,Station,95382,NYCT-6,CO-005
74,12632,Station,95391,NYCT-6,CO-005
75,12648,Station,1161003,LIRR-1,CO-103
76,12648,Station,1161021,LIRR-9,CO-081
77,12648,Station,1161218,LIRR-1,CO-103
78,12648,Station,1161619,LIRR-7,CO-081
79,12648,Station,1161637,LIRR-1,CO-103
80,12648,Station,1161655,LIRR-7,CO-081
81,12648,Station,1161735,LIRR-1,CO-059
82,12648,Station,1162100,LIRR-1,CO-081
83,12648,Station,1162155,LIRR-7,CO-059
84,12654,Station,1161030,LIRR-1,CO-103
85,12654,Station,1161334,"LIRR-1,LIRR-2,LIRR-3,LIRR-4,LIRR-5,LIRR-6,LIRR-7,LIRR-8,LIRR-9,LIRR-10,LIRR-11,LIRR-12",CO-081
86,12654,Station,1161511,LIRR-2,CO-081
87,12695,Station,607,"NYCT-N,NYCT-Q,NYCT-R,NYCT-W,NYCT-B,NYCT-D,NYCT-F,NYCT-M",CO-061
88,12719,Depot,9966,NYCT-BK,CO-047
89,12719,Depot,10053,NYCT-BX,CO-061
90,12719,Depot,322467,NYCT-SI,CO-085
91,12735,Station,601,"NYCT-L,NYCT-F,NYCT-M",CO-061
92,12735,Station,614,"NYCT-A,NYCT-B,NYCT-C,NYCT-D,NYCT-1",CO-061
93,12735,Station,618,"NYCT-L,NYCT-A,NYCT-C,NYCT-E",CO-061
94,12735,Station,620,"NYCT-2,NYCT-3,NYCT-4,NYCT-5",CO-047
95,12735,Station,623,"NYCT-R,NYCT-W,NYCT-N,NYCT-Q,NYCT-J,NYCT-Z,NYCT-6",CO-061
96,12735,Station,636,"NYCT-R,NYCT-A,NYCT-C,NYCT-F",CO-047
97,12735,Station,903,"NYCT-D,NYCT-N,NYCT-R,NYCT-B,NYCT-Q,NYCT-2,NYCT-3,NYCT-4,NYCT-5",CO-047
98,12735,Station,91867,NYCT-R,CO-047
99,12735,Station,92697,"NYCT-J,NYCT-Z",CO-061
100,12735,Station,93133,"NYCT-A,NYCT-B,NYCT-C,NYCT-D",CO-061
101,12735,Station,93295,"NYCT-A,NYCT-B,NYCT-C,NYCT-D,NYCT-E,NYCT-F,NYCT-M",CO-061
102,12735,Station,93927,"NYCT-B,NYCT-D,NYCT-F,NYCT-M",CO-061
103,12735,Station,94846,"NYCT-1,NYCT-2,NYCT-3",CO-061
104,12735,Station,95701,NYCT-6,CO-061
105,12735,Station,95756,"NYCT-4,NYCT-5",CO-061
106,12750,Station,92508,"NYCT-J,NYCT-Z",CO-047
107,12750,Station,92599,"NYCT-J,NYCT-M,NYCT-Z",CO-047
108,12750,Station,94089,NYCT-F,CO-047
109,12750,Station,95248,NYCT-6,CO-005
110,12750,Station,95462,NYCT-4,CO-005
113,12753,Station,92571,"NYCT-J,NYCT-Z",CO-047
114,12753,Station,94187,NYCT-F,CO-081
115,12753,Station,94203,"NYCT-E,NYCT-F",CO-081
119,13005,Yard,168785,,CO-061
121,13182,Yard,1004843,"LIRR-1,LIRR-2,LIRR-3,LIRR-4,LIRR-5,LIRR-6,LIRR-7,LIRR-8,LIRR-9,LIRR-10,LIRR-11,LIRR-12",CO-061
122,13273,Station,95738,"NYCT-4,NYCT-5,NYCT-6",CO-061
123,13479,Station,93883,"NYCT-B,NYCT-D,NYCT-F,NYCT-M",CO-061
124,13479,Station,96283,NYCT-7,CO-061
125,9999902,Station,608,"NYCT-R,NYCT-F,NYCT-G",CO-047
126,9999902,Station,623,"NYCT-R,NYCT-W,NYCT-N,NYCT-Q,NYCT-J,NYCT-Z",CO-061
127,9999902,Station,92170,"NYCT-B,NYCT-Q",CO-047
128,9999902,Station,92429,"NYCT-J,NYCT-Z",CO-081
129,9999902,Station,92483,NYCT-J,CO-047
130,9999902,Station,92526,"NYCT-J,NYCT-Z",CO-047
131,9999902,Station,92722,NYCT-M,CO-081
132,9999902,Station,92928,NYCT-L,CO-047
133,9999902,Station,93124,NYCT-C,CO-061
134,9999902,Station,93160,"NYCT-B,NYCT-C",CO-061
135,9999902,Station,93277,"NYCT-C,NYCT-E",CO-061
136,9999902,Station,93302,"NYCT-C,NYCT-E",CO-061
137,9999902,Station,93482,NYCT-C,CO-047
138,9999902,Station,93534,NYCT-A,CO-081
139,9999902,Station,93623,"NYCT-A,NYCT-H",CO-081
140,9999902,Station,93696,NYCT-A,CO-081
141,9999902,Station,93721,NYCT-D,CO-005
142,9999902,Station,93767,"NYCT-B,NYCT-D",CO-005
143,9999902,Station,94007,"NYCT-F,NYCT-G",CO-047
144,9999902,Station,94105,NYCT-F,CO-047
145,9999902,Station,94285,"NYCT-M,NYCT-R",CO-081
146,9999902,Station,94490,NYCT-G,CO-047
147,9999902,Station,94506,NYCT-G,CO-047
148,9999902,Station,94604,NYCT-1,CO-061
149,9999902,Station,94622,NYCT-1,CO-061
150,9999902,Station,94659,NYCT-1,CO-061
151,9999902,Station,94828,NYCT-1,CO-061
152,9999902,Station,94873,NYCT-1,CO-061
153,9999902,Station,95051,NYCT-3,CO-047
154,9999902,Station,95097,NYCT-3,CO-047
155,9999902,Station,95159,"NYCT-2,NYCT-5",CO-047
156,9999902,Station,95168,"NYCT-2,NYCT-5",CO-047
157,9999902,Station,95319,NYCT-6,CO-005
158,9999902,Station,95890,"NYCT-2,NYCT-5",CO-005
159,9999902,Station,95943,"NYCT-2,NYCT-5",CO-005
160,9999902,Station,96014,"NYCT-2,NYCT-3",CO-061
161,9999902,Station,96032,"NYCT-2,NYCT-3",CO-061
162,9999902,Station,96050,NYCT-5,CO-005
163,9999902,Station,96121,NYCT-7,CO-081
164,9999902,Station,96489,NYCT-SIR,CO-085
165,9999903,Station,605,"NYCT-A,NYCT-C",CO-061
166,9999903,Station,607,"NYCT-B,NYCT-D,NYCT-F,NYCT-M",CO-061
167,9999903,Station,611,"NYCT-1,NYCT-2,NYCT-3,NYCT-7",CO-061
168,9999903,Station,614,"NYCT-A,NYCT-B,NYCT-C,NYCT-D,NYCT-1",CO-061
169,9999903,Station,620,"NYCT-2,NYCT-3",CO-047
170,9999903,Station,625,NYCT-F,CO-061
171,9999903,Station,628,"NYCT-2,NYCT-3",CO-061
172,9999903,Station,630,"NYCT-M,NYCT-L",CO-047
173,9999903,Station,903,"NYCT-B,NYCT-Q",CO-047
174,9999903,Station,91698,"NYCT-N,NYCT-R,NYCT-W",CO-061
175,9999903,Station,91714,"NYCT-N,NYCT-Q,NYCT-R,NYCT-W",CO-061
176,9999903,Station,91821,"NYCT-R,NYCT-W",CO-061
177,9999903,Station,91867,NYCT-R,CO-047
178,9999903,Station,92170,"NYCT-B,NYCT-Q",CO-047
179,9999903,Station,92198,"NYCT-F,NYCT-Q",CO-047
180,9999903,Station,93847,NYCT-F,CO-061
181,9999903,Station,93874,"NYCT-B,NYCT-D,NYCT-F,NYCT-M",CO-061
182,9999903,Station,94052,"NYCT-F,NYCT-G",CO-047
183,9999903,Station,94212,"NYCT-E,NYCT-F",CO-081
184,9999903,Station,94374,"NYCT-E,NYCT-M",CO-061
185,9999903,Station,94579,NYCT-1,CO-005
186,9999903,Station,94720,"NYCT-1,NYCT-2,NYCT-3",CO-061
187,9999903,Station,94891,"NYCT-1,NYCT-2,NYCT-3",CO-061
188,9999903,Station,95159,"NYCT-2,NYCT-5",CO-047
189,9999903,Station,95765,"NYCT-4,NYCT-5",CO-061
190,9999903,Station,95809,"NYCT-2,NYCT-5",CO-005
191,9999903,Station,95836,"NYCT-2,NYCT-5",CO-005
192,9999903,Station,95863,"NYCT-2,NYCT-5",CO-005
193,9999903,Station,96005,"NYCT-2,NYCT-3",CO-061
194,9999903,Station,96130,NYCT-7,CO-081
195,9999905,Station,93080,NYCT-A,CO-061
196,9999905,Station,93160,"NYCT-B,NYCT-C",CO-061
197,9999905,Station,94285,"NYCT-M,NYCT-R",CO-081
198,9999905,Station,95630,NYCT-6,CO-061
199,9999905,Station,96130,NYCT-7,CO-081
200,9999908,Substation,137435,"NYCT-E,NYCT-J,NYCT-Z",CO-081
201,9999908,Substation,137471,NYCT-F,CO-061
202,9999908,Substation,137596,"NYCT-A,NYCT-H",CO-081
203,9999908,Substation,137612,"NYCT-B,NYCT-C,NYCT-A,NYCT-D",CO-061
204,9999908,Substation,137621,"NYCT-B,NYCT-Q",CO-047
205,9999908,Substation,137630,NYCT-N,CO-047
206,9999908,Substation,137649,"NYCT-C,NYCT-A",CO-061
207,9999908,Substation,137658,"NYCT-C,NYCT-A",CO-047
208,9999908,Substation,137667,NYCT-F,CO-047
209,9999908,Substation,137676,"NYCT-2,NYCT-3",CO-061
210,9999908,Substation,137685,"NYCT-2,NYCT-3",CO-061
211,9999908,Substation,137694,"NYCT-A,NYCT-B,NYCT-C,NYCT-D",CO-061
212,9999908,Substation,137701,"NYCT-J,NYCT-Z",CO-047
213,9999908,Substation,137774,NYCT-L,CO-047
214,9999908,Substation,137845,NYCT-F,CO-081
215,9999908,Substation,137863,"NYCT-J,NYCT-Z",CO-047
216,9999908,Substation,137916,NYCT-1,CO-005
217,9999908,Substation,138372,"NYCT-E,NYCT-F",CO-081
218,9999908,Substation,138559,"NYCT-1,NYCT-2,NYCT-3",CO-061
219,9999908,Substation,138942,"NYCT-B,NYCT-Q",CO-047
220,9999909,Pump Room,88960,"NYCT-B,NYCT-Q",CO-047
221,9999909,Pump Room,90975,NYCT-6,CO-005
222,9999909,Pump Room,91493,NYCT-E,CO-081
223,9999910,Station,1161076,LIRR-2,CO-059
224,9999910,Station,1161209,LIRR-10,CO-103
225,9999910,Station,1161245,LIRR-9,CO-081
226,9999910,Station,1161263,"LIRR-1,LIRR-2,LIRR-3,LIRR-4,LIRR-5,LIRR-6,LIRR-7,LIRR-8,LIRR-9,LIRR-10,LIRR-11,LIRR-14",CO-047
227,9999910,Station,1161316,LIRR-2,CO-059
228,9999910,Station,1161520,"LIRR-1,LIRR-2,LIRR-3,LIRR-4,LIRR-5,LIRR-6,LIRR-7,LIRR-8,LIRR-9,LIRR-10,LIRR-11,LIRR-12",CO-081
229,9999910,Station,1161799,LIRR-9,CO-081
230,9999910,Station,1161913,LIRR-5,CO-103
231,9999910,Station,1161968,LIRR-9,CO-059
232,9999911,Station,1161030,LIRR-1,CO-103
233,9999913,Station,1162173,LIRR-8,CO-059
234,9999913,Substation,1160184,LIRR-7,CO-081
235,9999913,Substation,1160424,"LIRR-1,LIRR-2,LIRR-3,LIRR-4,LIRR-5,LIRR-6,LIRR-7,LIRR-8,LIRR-9,LIRR-10,LIRR-11,LIRR-15",CO-081
236,9999913,Substation,1162280,"LIRR-1,LIRR-2,LIRR-3,LIRR-4,LIRR-5,LIRR-6,LIRR-7,LIRR-8,LIRR-9,LIRR-10,LIRR-11,LIRR-15",CO-047
237,9999913,Substation,1162486,"LIRR-1,LIRR-2,LIRR-3,LIRR-4,LIRR-5,LIRR-6,LIRR-7,LIRR-8,LIRR-9,LIRR-10,LIRR-11,LIRR-12",CO-081
238,9999913,Substation,1162985,LIRR-9,CO-081
239,9999915,Station,1157544,MNR-2,CO-005
240,9999915,Station,1157633,MNR-1,CO-119
241,9999916,Station,1157269,MNR-2,CO-119
242,9999916,Station,1157278,MNR-2,CO-119
243,9999916,Station,1157287,MNR-2,CO-119
244,9999916,Station,1157296,MNR-2,CO-119
245,9999916,Station,1157303,MNR-2,CO-119
246,9999916,Station,1157312,MNR-2,CO-119
247,9999916,Station,1157321,MNR-2,CO-119
248,9999916,Station,1157642,MNR-1,CO-027
249,9999919,Substation,1158598,MNR-2,CO-119
250,9999919,Substation,1158641,"MNR-1,MNR-2",CO-005
