code,description
T5041103,"Rehabilitate Avenue M Station - Brighton Line"
T5041104,"Rehabilitate Neck Road Station - Brighton Line"
T5041105,"Rehabilitate Avenue H Station - Brighton Line"
T5041106,"Rehabilitate Avenue J Station - Brighton Line"
T5041107,"Rehabilitate Avenue U Station - Brighton Line"
T5041108,"Rehabilitate Bleecker Street Station - Lexington Avenue Line"
T5041109,"Rehabilitate 59th Street Station - Broadway-7th Avenue Line"
T5041110,"Rehabilitate 59th Street Station - 8th Avenue Line"
T5041113,"Kings Highway Station - Brighton Line"
T5041114,"Newkirk Avenue Plaza Station Phase 2 - Brighton Line"
T5041123,"Rehabilitate Jay Street Station - Fulton Line"
T5041127,"Rehabilitate 96th Street Station - Broadway-7th Avenue Line"
T5041138,"Rehabilitate Morrison-Sound View Avenue Station - Pelham Line"
T5041147,"Rehabilitate Parkchester-E 177th Street Station - Pelham Line"
T5041149,"Rehabilitate Elder Avenue Station - Pelham Line"
T5041150,"Rehabilitate Whitlock Avenue Station - Pelham Line"
T5041155,"Rehabilitate Beach 67th Street Station - Rockaway Line"
T5041156,"Rehabilitate Beach 60th Street Station - Rockaway Line"
T5041157,"Rehabilitate Beach 44th Street Station - Rockaway Line"
T5041158,"Rehabilitate Beach 36th Street Station - Rockaway Line"
T5041159,"Rehabilitate Beach 25th Street Station - Rockaway Line"
T5041160,"Rehabilitate Mott Avenue Station - Rockaway Line"
T5041161,"Rehabilitate Beach 90th Street Station - Rockaway Line"
T5041162,"Rehabilitate Beach 98th Street Station - Rockaway Line"
T5041163,"Rehabilitate Beach 105th Street Station- Rockaway Line"
T5041174,"Rehabilitate East 180th Street Station - White Plains Road Line"
T5041192,"Reconstruct Cortlandt Street Station - Broadway-7th Avenue Line - Design Only"
T5041302,"Station Accessibility (ADA) - Bleecker-Broadway/Lafayette Street Station Complex"
T5041303,"Station Accessibility (ADA) 59th Street - Columbus Circle Station Complex"
T5041305,"Station Accessibility (ADA) Kings Highway Station - Brighton Line"
T5041309,"Station Accessibility (ADA) Jay Street Station - Fulton Line"
T5041311,"Station Accessibility (ADA) 96th Street Station - Broadway-7th Avenue Line"
T5041312,"Station Accessibility (ADA) Jay Street-Lawrence Street Transfer"
T5041317,"Station Accessibility (ADA) Mott Avenue - Rockaway Line"
T5041319,"Station Accessibility (ADA) East 180th Street Station - White Plains Road Line"
T5041402,"Passenger Transfer: Bleecker-Broadway/Lafayette Streets"
T5041406,"Passenger Transfer: Lawrence Street/Jay Street Stations"
T5041421,"Station Component Repairs"
T5049901,"Rehabilitate 71st Street Station - West End Line"
T5049902,"Rehabilitate 79th Street Station - West End Line"
T5049903,"Rehabilitate 18 Avenue Station - West End Line"
T5049904,"Rehabilitate 20 Avenue Station - West End Line"
T5049905,"Rehabilitate 25 Avenue Station - West End Line"
T5049906,"Rehabilitate Bay 50th Street Station - West End Line"
T5049907,"Rehabilitate Bay Parkway Station - West End Line"
T5049908,"Station Accessibility (ADA) Bay Parkway Station - West End Line"
T5049909,"Rehabilitate Fort Hamilton Parkway Station - West End Line"
T5049910,"Rehabilitate 62nd Street Station - West End Line"
T5049911,"Rehabilitate 9 Avenue Station - West End Line"
T5049912,"Station Work 50th Street Station - West End Line"
T5049913,"Station Work 55th Street Station - West End Line"
T5049915,"Gap Fillers Union Square Station Phase 3"
T5049914,"Install Induction Loops For 642 Station Booths"
T5060206,"Tunnel Lighting 42nd Street To 96th Street - Broadway-7th Avenue Line"
T5060209,"Tunnel Lighting Bergen To West 4th Street - 6th Avenue Line"
T5060213,"Tunnel Lighting 4th Avenue Portal To Church Avenue - Culver Line"
T5060301,"Fan Rehabilitation 30th Street - 6th Avenue Line"
T5060302,"Fan Wrap-Up Work - Archer Avenue Line"
